Notes,,,,,,,,,,,,,,,,
region_number,well_type_number,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,1,0.6,0.8,0.9,1,1.7,2.2,2.5,2.9,1.6,0.8,0.7,0.7,0.7,0.1062711,0.6268795
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7197994
1,3,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0.01593404
1,4,2,1.9,2,2,2.1,1.6,1.8,2.1,1.2,0.6,0.5,0.5,0.5,0,0
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973344,1.201545
1,10,2,4.9,6.1,4.4,4.5,3.3,3.4,2.2,0.3,0,0.8,0.8,0.8000001,28.74985,34.25807
1,11,10.5,12.3,12.9,18.2,33.1,47.1,50.2,36.8,44.4,56.8,69.4,70.1,71.2,15.9531,54.80639
2,1,121.3,124.5,129.5,139.3,146.6,181.6,279.1,253.5,289.7,333.6,374.9,313.3,279.9,152.7594,150.0857
2,2,45,45.2,45.9,45.7,45.8,49.5,42.7,30.3,25.2,23.6,20.8,13.8,9.7,40.07903,38.89034
2,3,53,49.2,60.2,95.5,143.5,148.6,122.2,91.5,80.6,72.9,71.3,59.9,53.8,46.81643,43.35094
2,4,10.1,10,10.2,10.2,10.2,12.1,10.4,7.4,6.1,5.8,5.1,3.4,2.4,26.87613,26.88714
2,5,1.1,1,1,1,2.1,2.5,2.5,2,1.8,1.9,1.9,1.4,1.1,1.995052,1.484979
2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4855691,0.5109346
2,10,234.1,335.3,461.9,723.1,931.8,1157.5,1212.4,1100.5,1146.3,1378.7,1534.1,1267.8,1123.1,1186.19,1252.258
2,11,65.1,65.2,66.3,66.1,66.2,99.1,108.4,91.4,90.2,103.7,107.9,89.2,79,96.92941,92.81079
3,1,1.2,1.2,1.3,1.3,1.5,1.9,2.5,2,2,1.3,0.7,0.6,0.5,1.912955,1.750046
3,2,0.6,0.6,0.6,0.7,0.8,0.9,1.3,1,1,0.7,0.3,0.3,0.2,8.891498,12.67534
3,3,1.2,1.2,1.3,1.3,1.5,1.9,2.5,2,2,1.3,0.7,0.6,0.5,0.3973297,0.3814359
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.275965,1.509175
3,10,2.4,2.5,2.5,2.7,3,3.8,4.5,2,0.7,1.4,2.8,2.4,2,6.329427,9.005891
3,11,55,56.5,56.9,61.3,69.1,86.1,112.5,95.9,91.9,100.3,113.2,96.2,82,106.5014,105.3298
4,1,205,217.7,269.3,374.3,482.4,603.9,671.1,533.8,514.9,587.5,570.8,493.8,468.8,457.2226,440.6508
4,2,5,5.4,6.6,9.2,11.9,14.9,13,8.3,6.3,5.5,4.4,3,2.3,0.5098429,0.513863
4,3,1666.7,1663,1453.8,1456,1500,1704,1847.5,1880.9,1949.2,2022.4,2178.4,1887.3,1927.3,1778.051,1829.497
4,4,0.7,0.7,0.9,1.2,1.6,2,1.7,1.1,0.8,0.7,0.6,0.4,0.3,0,0
4,5,1.7,1.8,2.2,3.1,4,5,4.3,2.8,2.1,1.8,1.5,1,0.8,5.236239,6.575899
4,6,1,1.1,1.3,1.8,2.4,3,2.6,1.7,1.3,1.1,0.9,0.6,0.5,0,0
4,10,15.1,16.1,19.9,27.6,35.6,44.6,48.9,29,25,26.7,35.1,30.3,28.7,237.8368,245.5956
4,11,3.4,3.6,4.4,6.1,7.9,9.9,9.2,8.4,6.3,5.3,3.6,3.1,2.9,101.3772,121.7622
5,1,407.8,421.6,453,495.9,445.5,453,530.9,530.6,697.4,963.7,1251.8,1251.2,1303.1,1445.509,1449.178
5,2,215.5,217.1,220.6,228.9,117.2,84.9,73.6,57.1,51.7,54.2,52.2,41.3,34.2,109.1206,113.8584
5,3,190.1,190.1,191.4,190.7,211,226.5,229.9,190.5,211.9,229.2,228.4,257.4,293.1,212.1676,234.073
5,4,130.5,139.9,176.1,247.9,281.4,226.5,196.2,152.4,137.8,144.4,139.2,110.2,91.1,69.30539,72.91177
5,5,17.4,17.4,17.7,19.1,23.4,28.3,24.5,19,17.2,18.1,17.4,13.8,11.4,18.26392,18.25105
5,6,23.2,23.2,27.2,38.1,23.4,28.3,24.5,19,17.2,18.1,17.4,13.8,11.4,7.873478,7.529927
5,10,84.1,114.5,230.5,438.7,914.5,1302.5,1472.2,1593.9,1866.2,2570.1,3193,3157.7,3263.6,3762.232,4032.557
5,11,145.3,154.3,189.8,247.9,328.3,481.4,513.7,413.3,364.8,409.1,411.7,407.1,420.8,311.1291,368.1255
6,1,78.1,78.4,78,78,78.6,79.7,89,81.8,119.1,161.1,182.4,168.4,164,184.5562,180.5388
6,2,100.5,97.8,97.2,109.5,124.1,132.9,120.3,84.8,73.2,70.9,63.6,44,32.6,14.5089,13.42609
6,3,27,27.2,27,27.1,27.2,26.6,23.3,29.1,35,37.2,39.8,39.4,40.4,37.04736,36.91465
6,4,12,12.1,12,12.1,12.1,6.6,6,4.2,3.7,3.5,3.2,2.2,1.6,35.07264,31.33316
6,5,1.7,1.7,1.7,1.7,1.7,0,0,0,0,0,0,0,0,1.24588,1.143054
6,6,55.1,55.3,54.9,55,55.4,53.2,48.1,33.9,29.3,28.4,25.5,17.6,13,25.84009,24.88573
6,10,52.1,64.4,86,124.2,191.2,265.8,313.9,273.4,302.5,349.1,425.3,367.2,340.3,466.0375,500.0258
6,11,37.1,38.2,39,41,41.3,99.7,151.2,155,152.5,215.5,231.3,199.7,185.1,55.61699,59.08817
7,7,567.8,549,537.5,538.8,545,560.8,551.5,508.4,475.1,440.2,428.4,391,356.8,334.5533,300.4023
