!***************************************************************
!wlco2.txt
%*****************************************************************************
%  Industrial CO2 data
%*****************************************************************************
%
%   Section 4: CO2 Constraints
%
@
Y      C Use NATURAL sources of CO2 (Y/N)
Y      C Use INDUSTRIAL sources of CO2 (Y/N)
%
% BASE CO2 VOLUMES BY REGION AND SOURCE (BCF/YR)
%   EAST COAST   GULF COAST   MIDCONTINENT   SOUTHWEST   ROCKY MOUNTAINS   WEST COAST   NORTHERN GREAT PLAINS     C  SOURCE
@
       0.00       291.96         16.02       657.00          79.92             0.00              0.00             C  NATURAL      
%
% BIN Dollar Amount Breakpoints
@
  35.0 40.0 43.0 47.0 50.0 53.0 70.0 150.0
%
%Cnt R ID      S Source   D_tonne  MMT         Bin
@
   1 1 1000413 3 Ethanol    40.40  0.662022777 3
   2 1 1005770 9 NGP        41.54  0.20758682  3
   3 1 1007110 3 Ethanol    41.98  0.50040419  3
   4 1 1000415 3 Ethanol    44.33  0.339927965 4
   5 1 1005374 3 Ethanol    46.22  0.267770113 4
   6 1 1005170 3 Ethanol    46.59  0.255429824 4
   7 1 1000035 3 Ethanol    46.70  0.229991021 4
   8 1 1005969 3 Ethanol    47.18  0.232273626 5
   9 1 1005791 3 Ethanol    47.60  0.2205762   5
  10 1 1006364 3 Ethanol    47.62  0.215892248 5
  11 1 1006787 3 Ethanol    47.75  0.221206635 5
  12 1 1002882 3 Ethanol    47.88  0.213351684 5
  13 1 1004276 3 Ethanol    47.92  0.21675381  5
  14 1 1006469 3 Ethanol    48.07  0.2127242   5
  15 1 1003377 3 Ethanol    48.14  0.20677956  5
  16 1 1006863 3 Ethanol    48.65  0.190023444 5
  17 1 1002989 3 Ethanol    48.73  0.180005033 5
  18 1 1006245 3 Ethanol    49.70  0.173164173 5
  19 1 1007730 3 Ethanol    51.16  0.13799045  6
  20 1 1004902 3 Ethanol    51.99  0.126773972 6
  21 1 1005853 3 Ethanol    52.62  0.12788204  6
  22 1 1007525 3 Ethanol    52.78  0.125910772 6
  23 1 1007933 3 Ethanol    52.79  0.12263342  6
  24 1 1005051 3 Ethanol    52.82  0.125195863 6
  25 1 1004608 3 Ethanol    53.00  0.123061094 7
  26 1 1004228 3 Ethanol    53.17  0.11831352  7
  27 1 1006114 3 Ethanol    53.38  0.118868542 7
  28 1 1002032 3 Ethanol    53.47  0.117687518 7
  29 1 1003637 3 Ethanol    53.76  0.21618246  7
  30 1 1007764 3 Ethanol    53.91  0.115306022 7
  31 1 1004584 3 Ethanol    54.28  0.10665278  7
  32 1 1006022 3 Ethanol    54.40  0.107922776 7
  33 1 1001809 3 Ethanol    54.72  0.102404757 7
  34 1 1003135 3 Ethanol    54.99  0.099992802 7
  35 1 1005217 3 Ethanol    55.18  0.099652839 7
  36 1 1002662 3 Ethanol    55.22  0.100285939 7
  37 1 1001071 3 Ethanol    55.44  0.098357168 7
  38 1 1006083 3 Ethanol    55.53  0.097724692 7
  39 1 1006138 3 Ethanol    55.62  0.096848713 7
  40 1 1003714 3 Ethanol    55.85  0.094973008 7
  41 1 1004761 3 Ethanol    56.01  0.093569086 7
  42 1 1004668 3 Ethanol    56.53  0.091395161 7
  43 1 1003422 3 Ethanol    57.08  0.087285562 7
  44 1 1005115 3 Ethanol    58.94  0.071873334 7
  45 1 1004818 3 Ethanol    59.41  0.070242562 7
  46 1 1007093 3 Ethanol    70.25  0.034470332 8
  47 1 1006491 3 Ethanol    80.90  0.02027623  8
  48 1 1005874 5 Cement    105.20  1.625407821 8
  49 1 1002787 5 Cement    111.91  1.144773378 8
  50 1 1002517 5 Cement    113.01  1.160666937 8
  51 1 1005360 5 Cement    117.44  0.961975422 8
  52 1 1005302 5 Cement    120.40  0.865483596 8
  53 1 1005629 5 Cement    121.67  0.811870641 8
  54 1 1000243 5 Cement    122.65  0.806793057 8
  55 1 1007997 5 Cement    124.77  0.726419826 8
  56 1 1006815 5 Cement    127.52  0.655424334 8
  57 1 1007566 5 Cement    130.80  0.601917849 8
  58 1 1000633 5 Cement    135.55  0.50628609  8
  59 1 1003891 5 Cement    136.65  0.501635286 8
  60 1 1001835 5 Cement    138.00  0.794544084 8
  61 1 1006738 5 Cement    138.96  0.47453625  8
  62 1 1002750 5 Cement    145.72  0.377720883 8
  63 1 1006212 5 Cement    149.19  0.337570083 8
  64 1 1000247 5 Cement    149.92  0.341878428 8
  65 1 1004078 5 Cement    150.06  0.324882171 8
  66 1 1006450 5 Cement    151.59  0.531304902 8
  67 1 1003594 5 Cement    154.89  0.307594116 8
  68 1 1005742 5 Cement    155.77  0.475124058 8
  69 1 1000290 5 Cement    156.39  0.291974238 8
  70 1 1000307 5 Cement    157.17  0.286504875 8
  71 1 1003770 5 Cement    158.37  0.273772746 8
  72 1 1007766 5 Cement    159.22  0.262848807 8
  73 1 1006136 5 Cement    171.45  0.208913193 8
  74 1 1005639 5 Cement    177.20  0.286571169 8
  75 1 1005622 5 Cement    178.80  0.276996996 8
  76 1 1007339 1 Hydrogen  185.70  0.047534184 8
  77 1 1004305 1 Hydrogen  196.43  0.03917592  8
  78 1 1006785 5 Cement    205.60  0.166447269 8
  79 1 1000343 1 Hydrogen  246.28  0.018357768 8
  80 1 1000198 5 Cement    246.67  0.089370117 8
  81 1 1006078 1 Hydrogen  250.17  0.01683828  8
  82 1 1006907 1 Hydrogen  323.48  0.00763488  8
   1 2 1004614 9 NGP        38.43  0.32654233  2
   2 2 1006373 9 NGP        38.50  0.32296672  2
   3 2 1002521 9 NGP        39.44  0.27376612  2
   4 2 1005045 9 NGP        40.59  0.22684784  3
   5 2 1006407 9 NGP        41.35  0.201965619 3
   6 2 1002623 9 NGP        41.66  0.19287244  3
   7 2 1004087 9 NGP        41.91  0.18606284  3
   8 2 1005080 9 NGP        42.51  0.17072036  3
   9 2 1004744 9 NGP        43.62  0.14688004  4
  10 2 1005002 9 NGP        43.78  0.14386832  4
  11 2 1002235 9 NGP        44.57  0.1299993   4
  12 2 1005031 9 NGP        45.27  0.119211    4
  13 2 1009795 2 Ammonia    45.74  0.378949919 4
  14 2 1003764 9 NGP        46.52  0.10289716  4
  15 2 1005070 9 NGP        46.68  0.10100941  4
  16 2 1002251 9 NGP        47.44  0.09792845  5
  17 2 1002029 9 NGP        47.55  0.091671863 5
  18 2 1004183 2 Ammonia    47.67  0.436822688 5
  19 2 1002625 9 NGP        48.19  0.08563498  5
  20 2 1002068 9 NGP        48.21  0.085429522 5
  21 2 1007870 9 NGP        49.74  0.09343479  5
  22 2 1005965 9 NGP        50.54  0.06749404  6
  23 2 1002290 9 NGP        50.55  0.067405833 6
  24 2 1002334 9 NGP        50.87  0.06537996  6
  25 2 1004799 3 Ethanol    51.24  0.133961308 6
  26 2 1003158 9 NGP        51.43  0.06197284  6
  27 2 1006087 9 NGP        51.60  0.0610424   6
  28 2 1007399 9 NGP        51.80  0.05988513  6
  29 2 1002422 9 NGP        52.82  0.054608633 6
  30 2 1007657 9 NGP        53.62  0.05365322  7
  31 2 1004620 9 NGP        54.01  0.04925786  7
  32 2 1005856 9 NGP        54.40  0.0476628   7
  33 2 1004851 9 NGP        54.53  0.04712648  7
  34 2 1004389 9 NGP        54.54  0.04709038  7
  35 2 1006270 9 NGP        54.68  0.04654176  7
  36 2 1000634 3 Ethanol    56.16  0.120096834 7
  37 2 1007819 3 Ethanol    57.57  0.075126116 7
  38 2 1007663 5 Cement    113.43  1.073612565 8
  39 2 1007792 5 Cement    118.70  0.869160393 8
  40 2 1002102 5 Cement    119.26  0.850571388 8
  41 2 1006301 1 Hydrogen  123.26  0.236953764 8
  42 2 1004810 5 Cement    128.46  0.658444167 8
  43 2 1007621 5 Cement    129.23  0.597210273 8
  44 2 1002421 5 Cement    129.61  0.58972086  8
  45 2 1009080 1 Hydrogen  129.72  0.188234615 8
  46 2 1002055 5 Cement    129.80  0.585977094 8
